132,96,7
84,4,7
12,168,7
16,28,7
0,64,7
88,180,7
152,148,7
20,92,7
48,4,7
68,80,7
88,32,7
40,68,7
84,68,7
80,16,7
140,80,7
108,60,7
68,72,7
152,44,7
92,104,5
176,136,7
104,20,7
64,76,7
0,80,7
152,4,7
148,152,7
84,152,7
152,92,7
176,16,7
92,128,7
72,172,7
84,136,7
136,68,7
160,148,7
172,152,7
112,136,7
64,156,7
96,8,7
152,168,7
16,16,7
164,64,7
124,152,7
72,100,5
140,88,7
96,132,7
128,80,7
100,172,7
36,48,7
148,112,7
24,112,7
176,92,7
104,52,7
0,180,7
0,8,7
168,168,7
12,92,7
44,72,7
148,52,7
64,148,7
8,0,7
92,36,7
84,64,7
48,108,7
176,160,7
124,64,7
92,28,7
64,160,7
140,8,7
160,96,7
60,56,7
164,12,7
28,84,7
48,76,7
136,116,7
44,180,7
64,124,5
116,12,7
108,8,7
0,176,7
32,28,7
56,92,7
168,160,7
176,48,7
180,0,7
92,0,7
60,88,7
72,84,7
80,60,7
152,68,7
124,24,7
28,60,7
180,68,7
64,32,7
172,128,7
12,88,7
16,0,7
12,120,7
40,60,7
68,140,7
24,56,7
28,152,7
88,20,7
48,180,7
116,40,7
160,80,7
72,136,7
68,180,7
92,140,7
8,88,7
160,180,7
84,80,7
24,68,7
40,128,7
152,16,7
56,84,7
16,140,7
108,164,7
40,180,7
120,48,7
12,160,7
140,4,7
160,140,7
104,132,7
80,176,7
140,144,7
56,152,7
140,20,7
4,104,7
28,100,7
88,28,7
64,12,7
72,164,7
16,132,7
100,32,7
40,132,7
156,12,7
172,164,7
40,136,7
28,164,7
24,156,7
64,24,7
76,160,7
28,156,7
152,180,7
68,116,5
0,60,7
84,12,7
144,108,7
160,108,7
144,44,7
100,24,7
80,88,5
28,24,7
132,116,7
52,104,7
160,44,7
172,64,7
28,4,7
104,16,7
152,12,7
136,108,7
72,28,7
8,8,7
88,168,7
132,124,7
48,20,7
28,136,7
128,8,7
132,112,7
40,44,7
128,76,7
132,168,7
68,60,7
4,88,7
20,148,7
92,152,7
0,152,7
52,116,7
40,140,7
16,40,7
8,32,7
76,24,7
80,100,5
36,8,7
168,124,7
24,52,7
168,112,7
4,64,7
180,108,7
28,140,7
116,140,7
112,20,7
136,120,7
8,56,7
20,88,7
96,148,7
140,180,7
92,132,7
164,4,7
124,124,7
112,128,7
32,160,7
64,80,7
40,164,7
48,124,7
72,124,7
44,80,7
52,112,7
4,172,7
68,36,7
180,60,7
28,124,7
108,0,7
144,68,7
4,156,7
168,44,7
0,156,7
124,116,7
156,160,7
8,124,7
20,156,7
160,104,7
132,176,7
8,100,7
112,124,7
52,160,7
88,96,5
144,52,7
132,60,7
148,16,7
132,100,7
172,96,7
40,32,7
136,100,7
160,168,7
24,124,7
12,152,7
32,108,7
176,8,7
36,60,7
84,104,0
0,172,7
36,112,7
56,116,7
68,164,7
100,8,7
116,116,7
32,180,7
84,16,7
20,160,7
176,20,7
172,60,7
100,124,7
172,44,7
176,108,7
136,96,7
140,36,7
112,48,7
56,148,7
128,4,7
180,24,7
60,4,7
20,136,7
152,80,7
180,160,7
8,12,7
136,40,7
164,32,7
20,124,7
100,88,5
68,16,7
132,32,7
56,44,7
176,140,7
68,28,7
112,148,7
176,52,7
164,176,7
44,4,7
140,176,7
88,60,7
56,12,7
128,92,5
68,152,7
104,36,7
104,56,7
88,164,7
124,56,7
176,96,7
84,60,7
68,136,7
24,84,7
4,24,7
104,124,7
64,120,5
72,120,7
160,132,7
120,140,7
136,32,7
76,112,5
164,80,7
44,20,7
160,56,7
4,32,7
136,128,7
124,20,7
164,60,7
176,164,7
28,120,7
124,164,7
100,164,7
20,68,7
152,48,7
132,16,7
180,152,7
76,88,5
16,32,7
84,40,7
52,20,7
64,164,7
4,68,7
32,40,7
164,28,7
136,136,7
140,40,7
76,128,7
100,112,5
8,64,7
84,128,7
20,64,7
16,136,7
44,24,7
60,52,7
124,48,7
120,132,7
124,60,7
16,116,7
16,76,7
144,180,7
156,36,7
72,112,5
120,112,5
44,176,7
52,108,7
156,60,7
176,132,7
164,152,7
72,36,7
148,132,7
100,76,7
0,24,7
44,64,7
88,152,7
96,40,7
128,116,7
120,8,7
116,80,5
176,100,7
160,164,7
96,96,0
168,116,7
12,0,7
76,36,7
48,120,7
116,148,7
140,68,7
104,140,7
76,84,5
100,84,5
76,124,7
44,32,7
168,48,7
140,52,7
120,52,7
84,124,7
80,24,7
160,100,7
168,64,7
24,88,7
76,72,7
156,112,7
100,104,5
100,28,7
60,100,5
108,84,5
92,92,5
148,156,7
152,108,7
164,136,7
52,168,7
172,52,7
136,112,7
124,128,7
48,84,7
56,8,7
52,136,7
100,92,5
20,140,7
60,164,7
56,132,7
