id,image_url,principalOrFirstMaker,title,longTitle,width,height
en-RP-T-2000-110-23(R),http://lh3.googleusercontent.com/_54JOv7hojKruuKqiqL4GDkStv7PgmL7uARCQfU_g1PYyX71yN-phidRU7Wu2EpDfo8CGHCo3shrvOZlloHfZoMEJA=s0,Johannes Tavenraat,Roeiboot aan de waterkant,Roeiboot aan de waterkant;; Johannes Tavenraat;; 1864 - 1880,2500,1477
en-RP-T-2000-110-30(R),http://lh3.googleusercontent.com/H9H1GcwbkPkpDjfW2utwVpGYpE66sJFdtB9hRMhYKEq1mcO_jedypI84OeIDlAQnG6EnpeujiH7EaIwdAGZbAVmPESA=s0,Johannes Tavenraat,Kopie naar een voorstelling met twee monniken,Kopie naar een voorstelling met twee monniken;; Johannes Tavenraat;; 1864 - 1880,2500,1486
en-RP-T-2000-110-54(R),http://lh3.googleusercontent.com/C02xChs4uOlWGlb1S8Ikfk9wbg4kg-IMLWfD7AuuWQxow5EcHn8aoocgc4u7Kx53dq5KHrjuFEkIEPhJue7b-l_b5bs=s0,Johannes Tavenraat,Huizen in Hillegersberg,Huizen in Hillegersberg;; Johannes Tavenraat;; 1864,2500,1515
en-RP-T-2000-110-60(V),http://lh3.googleusercontent.com/MC7HarUlxyzPfvfw_zWG0B7Css355dvxSb7CZMsTs5eZQT4ghCkoT55tsIx4klaTlgiQHysxW7pJ150T3aF2bmpxfw=s0,Johannes Tavenraat,Zeilschepen;; mannenkoppen en een landschap,Zeilschepen;; mannenkoppen en een landschap;; Johannes Tavenraat;; 1864,2500,769
en-RP-T-2000-107-13(V),http://lh3.googleusercontent.com/DnddVUVveE-x4ciHsdb-JAQxxQU5jogqzJxhy1G416NrvIp8mO7_020GHvNp0EJa9fBgWX78YtPfdvFb1btkhchBiFc=s0,Johannes Tavenraat,Gebouwen aan een meer en drie kinderen,Gebouwen aan een meer en drie kinderen;; Johannes Tavenraat;; 1840,2500,1690
en-RP-T-2000-107-18(V),http://lh3.googleusercontent.com/RiTkZR61TP4RmMRf_gbqxIzWY5IExzbEFNtEVFZTZwjbyywp4ZBfr7FExooDsynfYg26qX6qAWtf0a-EyVcGvZRaNlI=s0,Johannes Tavenraat,Landschappen;; waaronder zeilschepen aan de kust van Lyme Regis,Landschappen;; waaronder zeilschepen aan de kust van Lyme Regis;; Johannes Tavenraat;; 1840,2500,1690
en-RP-T-2000-107-19(R),http://lh3.googleusercontent.com/Fvv94NsI5WX71nCi2_Cv98n87aFzTL3WAFyw-2QHUbxTHVs0gwnJaFqFxIpoF3FMqxaRx-sOjVFoq_V4aOodN97qG5Ju=s0,Johannes Tavenraat,Grazende koeien bij een boerderij,Grazende koeien bij een boerderij;; Johannes Tavenraat;; 1840,2500,1691
en-RP-T-2000-107-20(V),http://lh3.googleusercontent.com/Vnaz4IPeeh5IHJVZO8SqcZeMStkJd7FT8U3y3H2_K_e9hGi5Iv4O_62rankJfxNntDMiOn-XshbRU-suKQCiRLU1xqw=s0,Johannes Tavenraat,Heuvellandschap met huizen en grazend vee,Heuvellandschap met huizen en grazend vee;; Johannes Tavenraat;; 1840,2500,1697
en-RP-T-2000-107-21(R),http://lh3.googleusercontent.com/xst_RGh8gGSdpNxd9JrBK35B1gkQO4eaSSMnixq3BGgg26KbJCZCOTws1jcjib8MIuewIhrULIIdnHoa_qxTmw8jtQ=s0,Johannes Tavenraat,Landschap,Landschap;; Johannes Tavenraat;; 1840,2500,1686
en-RP-T-2000-107-32(V),http://lh3.googleusercontent.com/U4YEV3J607U0mJQTo_5eT9zlE5NY-slgizLe7AUIN9MmNOhngLhQWQUo2a-CAGx_YqViAlZZOfvhswIW5vf9RUQSSg=s0,Johannes Tavenraat,Honden;; schaatsende figuren op een rivier en landschappen,Honden;; schaatsende figuren op een rivier en landschappen;; Johannes Tavenraat;; 1840,2500,1684
