dir,x_pos,y_pos,prediction
40,168,9
16,128,2
116,172,9
96,168,9
140,164,2
148,180,2
52,116,9
24,176,9
124,92,9
72,92,9
80,92,9
32,88,2
96,140,9
20,44,2
16,148,2
112,160,9
104,64,9
40,56,2
140,168,9
8,16,2
180,164,2
16,64,2
12,168,9
68,128,9
4,52,2
28,136,2
92,80,9
100,0,9
12,40,2
104,168,9
0,76,2
88,20,9
4,32,2
16,4,9
116,136,9
8,144,2
136,180,2
144,112,9
172,172,2
108,20,9
136,64,9
20,172,2
96,56,9
168,152,9
16,136,2
164,96,2
168,140,2
64,108,9
160,136,9
108,132,9
128,148,9
8,36,2
124,140,9
20,28,2
160,4,2
144,176,2
112,112,2
12,108,2
108,148,9
120,160,9
148,112,2
56,148,9
128,60,9
144,128,2
164,12,2
44,104,9
160,68,2
100,64,9
52,44,2
164,100,2
8,168,9
104,172,2
92,144,9
52,144,9
88,76,9
148,20,9
168,108,2
88,32,9
56,36,9
124,76,9
64,164,9
164,76,2
140,28,9
68,176,2
68,28,9
20,112,2
72,124,9
136,108,9
124,60,9
44,148,9
20,68,2
12,84,2
8,0,9
20,16,2
148,120,2
156,8,9
164,176,2
112,144,9
144,104,9
48,0,9
8,32,2
28,148,2
4,12,2
88,112,2
48,124,9
128,0,9
12,176,9
16,92,2
176,132,9
76,96,9
136,16,9
52,152,9
80,176,2
116,52,9
40,128,2
60,100,9
4,56,2
160,124,9
136,160,9
52,92,9
176,172,2
168,76,2
56,56,2
120,152,9
84,96,9
176,36,9
40,92,2
148,104,2
84,40,9
56,156,9
28,4,9
48,176,9
88,36,9
40,52,2
120,4,9
32,140,2
0,112,2
116,8,9
124,0,9
128,156,9
20,108,2
24,72,2
80,64,9
100,96,9
0,92,2
168,144,2
52,72,2
172,96,2
44,128,9
16,100,2
76,60,9
164,48,2
152,96,2
84,140,9
92,12,9
100,16,9
40,60,2
148,96,2
88,96,9
56,76,9
40,176,2
52,124,9
44,8,9
96,172,2
172,132,9
80,20,9
4,40,2
8,20,2
92,104,9
148,40,9
140,152,9
68,180,2
68,52,9
152,16,9
60,148,9
60,144,9
148,12,9
64,152,9
100,32,9
92,152,9
44,92,9
116,0,9
28,160,2
156,24,9
44,64,2
164,56,2
28,8,9
32,152,2
68,68,9
140,48,9
48,132,9
120,124,9
60,120,9
76,76,9
168,4,9
136,4,9
144,152,2
144,172,2
156,76,2
48,164,9
104,136,9
144,4,9
12,72,2
112,84,9
156,0,9
84,68,9
52,24,9
72,164,9
112,48,9
172,140,2
176,168,2
108,176,9
176,96,9
0,160,2
32,48,2
172,120,2
36,8,9
72,176,2
60,180,2
52,56,2
44,16,9
160,36,2
36,100,2
24,100,2
32,108,2
60,124,9
112,116,2
96,32,9
0,108,2
96,148,9
180,84,2
148,116,2
180,44,2
0,100,2
36,136,2
88,80,9
